tax,NCBI Taxonomy ID,Biotin,Cobalamin,Folate,Niacin,Pantothenate,Pyridoxin,Riboflavin,Thiamin,Body Site
Actinomyces odontolyticus ATCC 17982 (411466.7),411466,0,0,0,0,1,1,0,0,HGM
Corynebacterium ammoniagenes DSM 20306 (649754.3),649754,0,0,1,1,1,0,1,1,HGM
Succinatimonas hippei YIT 12066 (762983.3),762983,1,0,0,0,0,1,1,1,HGM
Listeria grayi DSM 20601 (525367.9),525367,0,0,1,0,1,1,1,0,HGM
Listeria monocytogenes str. 1/2a F6854 (267409.1),267409,0,1,1,1,1,1,0,0,HGM
Bacillus subtilis subsp. subtilis str. 168 (224308.1),224308,1,0,1,1,1,1,1,1,HGM
Alistipes indistinctus YIT 12060 (742725.3),742725,1,0,0,1,1,1,1,1,HGM
Bacteroides caccae ATCC 43185 (411901.7),411901,1,0,1,1,1,1,1,1,HGM
Bacteroides cellulosilyticus DSM 14838 (537012.5),537012,1,1,1,1,1,1,1,1,HGM
Bacteroides coprocola DSM 17136 (470145.6),470145,1,0,1,1,1,0,1,1,HGM
Bacteroides coprophilus DSM 18228 (547042.5),547042,1,0,1,1,1,0,1,1,HGM
Bacteroides dorei DSM 17855 (483217.6),483217,1,1,1,1,1,1,1,1,HGM
Bacteroides eggerthii 1_2_48FAA (665953.3),665953,1,0,1,1,1,1,1,1,HGM
Bacteroides eggerthii DSM 20697 (483216.6),483216,1,0,1,1,1,1,1,1,HGM
Bacteroides finegoldii DSM 17565 (483215.6),483215,1,0,0,1,1,1,1,1,HGM
Bacteroides fragilis 3_1_12 (457424.5),457424,1,1,1,1,1,1,1,1,HGM
Bacteroides fragilis NCTC 9343 (272559.17),272559,1,1,1,1,1,1,1,1,HGM
Bacteroides fragilis YCH46 (295405.3),295405,1,1,1,1,1,1,1,1,HGM
Bacteroides intestinalis DSM 17393 (471870.8),471870,1,1,1,1,1,1,1,1,HGM
Bacteroides ovatus ATCC 8483 (411476.11),411476,1,0,1,1,1,1,1,1,HGM
Bacteroides ovatus SD CC 2a (702444.3),702444,1,0,1,1,1,1,1,1,HGM
Bacteroides ovatus SD CMC 3f (702443.3),702443,1,0,1,1,1,1,1,1,HGM
Bacteroides plebeius DSM 17135 (484018.6),484018,1,0,1,1,1,0,1,1,HGM
Bacteroides sp. 1_1_30 (457387.3),457387,1,0,1,1,1,1,1,1,HGM
Bacteroides sp. 1_1_6 (469586.3),469586,1,0,1,1,1,1,1,1,HGM
Bacteroides sp. 2_1_16 (469587.3),469587,1,1,1,1,1,1,1,1,HGM
Bacteroides sp. 2_1_22 (469588.3),469588,1,0,1,1,1,1,1,1,HGM
Bacteroides sp. 2_1_33B (469589.3),469589,1,1,1,1,1,1,1,1,HGM
Bacteroides sp. 2_1_7 (457388.5),457388,1,1,1,1,1,1,1,1,HGM
Bacteroides sp. 2_2_4 (469590.5),469590,1,0,1,1,1,1,1,1,HGM
Bacteroides sp. 3_1_19 (469592.4),469592,1,1,1,1,1,1,1,1,HGM
Bacteroides sp. 3_1_23 (457390.3),457390,1,0,1,1,1,1,1,1,HGM
Bacteroides sp. 3_1_33FAA (457391.3),457391,1,1,1,1,1,1,1,1,HGM
Bacteroides sp. 3_1_40A (469593.3),469593,1,1,1,1,1,1,1,1,HGM
Bacteroides sp. 3_2_5 (457392.3),457392,1,1,1,1,1,1,1,1,HGM
Bacteroides sp. 4_1_36 (457393.3),457393,1,1,1,1,1,1,1,1,HGM
Bacteroides sp. 4_3_47FAA (457394.3),457394,1,1,1,1,1,1,1,1,HGM
Bacteroides sp. 9_1_42FAA (457395.6),457395,1,1,1,1,1,1,1,1,HGM
Bacteroides sp. D1 (556258.5),556258,1,0,1,1,1,1,1,1,HGM
Bacteroides sp. D2 (556259.3),556259,1,1,1,1,1,1,1,1,HGM
Bacteroides sp. D20 (585543.3),585543,1,1,1,1,1,1,1,1,HGM
Bacteroides sp. D22 (585544.3),585544,1,0,1,1,1,1,1,1,HGM
Bacteroides stercoris ATCC 43183 (449673.7),449673,1,1,1,1,1,1,1,1,HGM
Bacteroides thetaiotaomicron CL09T03C10 (997888.3),997888,1,0,0,1,1,1,1,1,HGM
Bacteroides thetaiotaomicron dnLKV9 (1235785.3),1235785,1,0,1,1,1,1,1,1,HGM
Bacteroides thetaiotaomicron VPI-5482 (226186.1),226186,1,0,1,1,1,1,1,1,HGM
Bacteroides uniformis ATCC 8492 (411479.10),411479,1,1,1,1,1,1,1,1,HGM
Bacteroides vulgatus ATCC 8482 (435590.6),435590,1,1,1,1,1,1,1,1,HGM
Bacteroides vulgatus PC510 (702446.3),702446,1,1,1,1,1,1,1,1,HGM
Bacteroides xylanisolvens SD CC 1b (702447.3),702447,1,0,1,1,1,1,1,1,HGM
Bacteroides xylanisolvens XB1A (657309.4),657309,1,0,1,1,1,1,1,1,HGM
Parabacteroides distasonis ATCC 8503 (435591.10),435591,1,1,1,1,1,1,1,1,HGM
Parabacteroides johnsonii DSM 18315 (537006.5),537006,1,1,1,1,1,1,1,1,HGM
Parabacteroides merdae ATCC 43184 (411477.4),411477,1,1,1,1,1,1,1,1,HGM
Parabacteroides sp. D13 (563193.3),563193,1,1,1,1,1,1,1,1,HGM
Prevotella copri DSM 18205 (537011.5),537011,0,0,1,1,1,1,1,1,HGM
Prevotella salivae DSM 15606 (888832.3),888832,0,0,0,0,1,1,1,0,HGM
Bifidobacterium adolescentis (1680.3),1680,0,0,1,0,0,1,0,1,HGM
Bifidobacterium angulatum DSM 20098 (518635.5),518635,0,0,0,1,0,1,0,1,HGM
Bifidobacterium animalis subsp. lactis AD011 (442563.3),442563,0,0,0,0,0,1,0,0,HGM
Bifidobacterium bifidum NCIMB 41171 (398513.5),398513,0,0,1,1,0,1,0,1,HGM
