Note: Genomes were sequenced for multiple cultures from the same species in the culture collection. Subsequently multiple copies of the same species presented in Figure1 are included in the analysis here. ,,,,
,"Species Name                                                                                                         (Closest BLAST Match, ?98.7% match unless otherwise stated)",Public identifier for species not cultured in this study,Category,signature score
1,Akkermansia muciniphila,GCA_000020225.1,known non-spore formers,0.25
2,Alicyclobacillus acidocaldarius,GCA_000024285.1,known spore formers,0.66
4,Alistipes finegoldii,cultured in this study,Cultures from untreated plates,0.17
3,Alistipes finegoldii,cultured in this study,Cultures from untreated plates,0.16
5,Alkaliphilus oremlandii,GCA_000018325.1,known spore formers,0.75
6,Ammonifex degensii KC4,GCA_000024605.1,known spore formers,0.66
7,Anaeromyxobacter dehalogenans,GCA_000013385.1,known non-spore formers,0.17
193,Anaerostipes hadrum_98%,cultured in this study,Cultures from untreated plates,0.56
8,Anaerostipes hadrus,cultured in this study,Cultures from untreated plates,0.58
9,Anaerostipes hadrus,cultured in this study,Cultures from untreated plates,0.56
10,Anaerostipes hadrus,cultured in this study,Cultures from untreated plates,0.55
11,Anaerostipes hadrus,cultured in this study,Cultures from untreated plates,0.55
12,Anaerostipes hadrus,cultured in this study,Cultures from untreated plates,0.55
13,Anaerotruncus colihominis,cultured in this study,Cultures from ethanol treated plates,0.66
14,Anaerotruncus colihominis_91%,cultured in this study,Cultures from ethanol treated plates,0.66
15,Aquifex aeolicus,GCA_000008625.1,known non-spore formers,0.17
16,Bacillus amyloliquefaciens,GCA_000015785.1,known spore formers,0.73
17,Bacillus anthracis,GCA_000007845.1,known spore formers,0.73
18,Bacillus cereus,GCA_000007825.1,known spore formers,0.73
19,Bacillus clausii,GCA_000009825.1,known spore formers,0.69
20,Bacillus halodurans,GCA_000011145.1,known spore formers,0.70
21,Bacillus licheniformis,GCA_000008425.1,known spore formers,0.72
22,Bacillus pumilus,GCA_000017885.1,known spore formers,0.72
23,Bacillus subtilis,GCA_000009045.1,known spore formers,0.73
24,Bacillus thuringiensis serovar konkukian,GCA_000008505.1,known spore formers,0.73
25,Bacillus weihenstephanensis,GCA_000018825.1,known spore formers,0.73
26,Bacteroides caccae,cultured in this study,Cultures from untreated plates,0.19
27,Bacteroides caccae,cultured in this study,Cultures from untreated plates,0.17
32,Bacteroides coprocola_94%,cultured in this study,Cultures from untreated plates,0.17
28,Bacteroides finegoldi,cultured in this study,Cultures from untreated plates,0.17
31,Bacteroides finegoldii_98%,cultured in this study,Cultures from untreated plates,0.17
49,Bacteroides fragilis,GCA_000009925.1,known non-spore formers,0.17
34,Bacteroides intestinalis_98%,cultured in this study,Cultures from untreated plates,0.17
29,Bacteroides ovatus,cultured in this study,Cultures from untreated plates,0.17
33,Bacteroides plebius_95%,cultured in this study,Cultures from untreated plates,0.16
30,Bacteroides salyersiae,cultured in this study,Cultures from untreated plates,0.17
35,Bacteroides thetaiotaomicron,cultured in this study,Cultures from untreated plates,0.19
36,Bacteroides thetaiotaomicron,cultured in this study,Cultures from untreated plates,0.19
37,Bacteroides thetaiotaomicron,cultured in this study,Cultures from untreated plates,0.19
38,Bacteroides thetaiotaomicron,cultured in this study,Cultures from untreated plates,0.19
39,Bacteroides uniformis,cultured in this study,Cultures from untreated plates,0.19
44,Bacteroides uniformis,cultured in this study,Cultures from untreated plates,0.19
40,Bacteroides uniformis,cultured in this study,Cultures from untreated plates,0.17
41,Bacteroides uniformis,cultured in this study,Cultures from untreated plates,0.17
42,Bacteroides uniformis,cultured in this study,Cultures from untreated plates,0.17
